rank,mean_ms,std_ms,min_ms,max_ms,median_ms,p95_ms,tokens_per_second
0,209.43607091903687,6.115434978661369,198.79036396741867,215.70266410708427,,,
1,209.39400903880596,6.17219607270114,198.80104437470436,215.7178297638893,,,
global,209.44293774664402,6.116546880068632,198.80104437470436,215.7178297638893,211.82172931730747,215.3836265206337,19556.639359952023
